A certain	Egia
To follow its trail up	Bidean aurrera egiteko
To start to follow its trail	Bidea egiten hasteko
Different types of foods	Elikagai motak
Dog food	Zakurrentzako pentsua
Fish food	Elikagaiak jateko arraina
Health food	Osasunerako elikagaiak
Its food	Janaria
Mexican food	Janari mexikarra
His favorite food	Zure janari gogokoena
To be holding up food one is eating	Elikagaiari eusteko, bat jaten ari da
To give him food	Janaria emateko
To have food particles on one's mustache	Bibotean elikagai-partikulak izatea
To have food set out	Elikagaiak ezarrita edukitzeko
To set out food	Elikagaiak ezartzeko
Bit food	Bit-bazkaria
To fool around	Inguruan engainatzeko
To fool him into coming out	Ateratzeko engainatzeko
To make a fool of oneself	Norberaren tonto bat egitea
Arch of the foot	Oineko arkua
Around the middle of foot	Oinaren ingurunearen inguruan
Ball of the foot	Oin-bola
Bones of the upper foot	Goiko oineko hezurrak
Bottom of the foot	Oinaren hondoa
Smelly feet	Oin kirasdunak
From the outer side of the foot	Oinaren kanpoaldetik
From the sole of the foot	Oinaren zolatik
From the top of the foot	Oinaren goiko aldetik
Hollow of the sole of the foot	Oinaren zolaren zuloa
Metatarsals and phalanges of the foot	Oineko metatartsoak eta falangeak
On the arch of the foot	Oinaren arkuan
Side of the foot	Oinaren aldea
Sole of the front part of foot	Oinaren aurreko aldeko zola
Sole of the foot	Oinaren zola
Tendon of the foot	Oinaren tendoia
The front part of the foot	Oinaren aurrealdea
Tip of the foot	Oin-punta
To be big-footed	Hanka handiak izateko
To get one's foot in his mouth	Ahoan baten oina lortzeko
To get one's foot into the fire	Sutan oina lortzeko
To get one's foot stuck in it	Itsatsitako oina lortzeko
To have one's feet stuck out	Oinak bata kanporantz trabatuta edukitzeko
To hit one's foot against it	Oin bat haren kontra jotzeko
To hold up one's foot or feet	Oinari eusteko
To pull one's feet in	Oinak
At the foot of the mountain	Mendiaren magalean
To the foot of the mountain	Mendiaren magalean
From the foot of the mountain	Mendiko oinetik
At the foot of the mountain where the trees start	Zuhaitzak hasten diren mendiaren oinean
Each other's footprints	Bakoitzaren aztarnak
Its front footprints	Aurreko aztarnak
Ceremonial footprints	Zeremonia-aztarnak
His footprints lead off back	Arrastoek atzera eramaten dute
To follow along in his footsteps	Urratsak egiteko
For him	Harentzat
For oneself	Norberarentzat
It is not good for you	Ez da ona zuretzat
To work for money	Diruz lan egiteko
Waiting for each other	Bata bestearen zain
To be forced back	Berriro behartzeko
To be forced off	Kanpoan bortxatua izateko
To be forcing him back	Itzultzera behartzeko
To force him off	Kanpoan bortxatzeko
To start to force him back	Itzultzera behartzen hasteko
Obstetrical forceps	Forceps obstetrikoak
Across the forehead	Frontetik
Foreigners	Atzerriko atzerritarrak
Its foreleg prints	Aurreko xaflak
To stand foremost	Guztiaren aurrean egoteko
To forget about things	Gauzak ahazteko
Thick-sepaled forget-me-not	Ahazte-bereizia
Forked poles	Forked zutoinak
Four-pronged fork	Lau puntako urkilak
Fork-shaped	Fork-forma
Three-pronged fork	Hiru puntako sardexka
Three-pronged fork	Hiru puntako sardexka
To eat with a fork	Sardexka batekin jateko
To lock forks	Urkilak blokeatzeko
Wooden fork used in weaving	Ehunetan erabilitako egurrezko urkila
In human form	Giza forman
To be forming a crack	Arraildura bat sortzeko
To form a hard lump	Koskor gogorra osatzeko
To form a scab on it	Bertan scab-a osatzeko
To form	Prestatzeko
To begin to form	Sortzen hasteko
To be formed	Prestatzeko
To start to form ears	Belarriak sortzen hasteko
Former location	Lehengo kokalekua
Back and forth reciprocally	Joan-etorrikoa
Forty times	Berrogei aldiz
Forty three	Berrogeita hiru
Farther forward	Aurrerago, aurrera
Four spot	Lau puntu
Four of clubs	Lau klub
Four of spades	Lau lagun
Four of hearts	Lau bihotz
Four of diamonds	Lau diamante
Four of you	Zuetako lau
The ceremonial naming of colors in sequences of four	Koloreen zeremonia-izena, lauren sekuentzian
To be on all four	Lauetan egoteko
Many-flowered four-o'clock	Lau puntutan loratzen da
Fourteen times	Hamalau aldiz
Compound fracture	Haustura konposatua
Transverse fracture	Zeharkako haustura
Oblique fracture	Haustura zeiharra
Fragment of pottery	Zeramikazko zatia
To fall free	Aske erortzeko
To freeze it	Izozteko
To freeze to death	Heriotzara izozteko
To freeze	Izozteko
To be a freeze	Izozte bat izateko
To begin to freeze	Izozten hasteko
To French fry potatoes	Frantziako patata frijituei
To be a friend of his	Bere lagun izatea
To become friends again	Berriz ere lagun izateko
Dear friends	Lagun horiek:
To get on friendly terms with him	Harekin adiskidetasunez lortzeko
Friendly relations	Lagunarteko harremanak
To be given a fright	Beldurra izateko
To give him a fright	Beldurra emateko
To frighten him with it	Izutzeko
To frighten him	Izutzeko
To frighten things off with it	Gauzak izutzeko
To not frighten easily	Ez izutu erraz
Its fringe	Bere zerrenda
Fringe border yarn	Gezi-ertzeko haria
To put a fringe around it	Haren inguruan zerrenda bat jartzeko
From a point near it	Hurbiletik
From beneath it	Azpitik
From far and near	Urrutitik eta gertutik
From now on	Hemendik aurrera
From one síde	Side batetik
From nearby	Hurbiletik
From the back of the leg	Hankaren atzealdetik
From the back of the upper leg	Goiko hankaren atzealdetik
From the front of the arm	Besoaren aurreko aldetik
From the front of the leg	Hankaren aurreko aldetik
From the inside of the arm	Besoaren barnetik
From the other side	Beste aldetik
From the place where	Nondik
From the side of the arm	Besoaren aldetik
From the side of the head	Buruaren aldetik
From the side of the leg	Hankaren aldetik
From the side of the nose	Sudurraren aldetik
From the side of the trunk	Enborraren aldetik
From then on	Hortik aurrera
From there	Handik
From this day on	Egun horretatik aurrera
From time to time	Noizean behin
From within the leg	Hanka barrutik
In front of the fire	Suaren aurrean
To froth at the mouth	A froth ahoan
To frown at him	Bertan arakatzeko
Fresh fruit	Fruta freskoa
Dried fruit	Fruta lehorra
Citrus fruit	Fruta zitrikoa
To fry-cook	A fry-cook
Electric frying pan	Frijitzeko zartagin elektrikoa
To get too full to accommodate one	Bat egokitzeko beteteegia lortzeko
To get full of it	Betea izateko
To be full	Beteta egoteko
To be full of it	Beterik egoteko
To be stuffed full	Osorik betetzeko
To become full	Osorik izatera iristeko
The full range of	Honen gama osoa:
To fumble around	A fumble inguruan
To fumble around searching for it	A fumble haren bila
To have fun with it	Harekin dibertitzeko
To say funny things	Gauza dibertigarriak esateko
To be in the process of cutting a furrow	Ildo bat mozteko prozesuan egotea
To cut a furrow	Ilara bat mozteko
To make a furrow	Ilara bat egiteko
To be fussy about one's appearance	Baten itxuraren gainean distiratsu izateko
Sometime in the future	Etorkizunean
To foretell the future	Etorkizuna aurresateko
Body fuzz	Fuzz gorputza
To get fuzzier and fuzzier	Fuzzier eta fuzzier lortzeko
To gab with him	Gabek berarekin
To gag on it	A gag bertan
To gag	A gag
To gag him	Lotzeko
To be gaining weight	Pisua irabazteko
To be gaining time	Denbora irabazteko
Five gallons	Bost galoi
One gallon	Galoi bat
Two gallons	Bi galoi
Three gallons	Hiru galoi
To come at a gallop	Gallop batean etortzeko
To gallop around horseback	A gallop zaldi inguruan
To gallop around	Inguruko gallopetarako
To gallop around on it	A gallop inguruan
To gallop around	Inguruko gallopetarako
To gallop around in a circle	Inguruko lauhazka zirkulu batean
To gallop away and disappear	Gallop egiteko urrun eta desagertzeko
To come galloping inside	Barruan galopatzen etortzeko
To be galloping along	Bitartean lauhazka egiteko
Game fetish	Fetix-jokoa
Game corral	Eskorta-jolasa
Game trap	Tranpa jokoa
Mountain gap	Mendi-bretxa
To be gapped	Gapped izateko
To gargle it	Gordetzeko
Reversible garment	Arropa itzulgarria
To fill one with gas	Bat gasez betetzeko
To get gas	Gasa lortzeko
To have gas on one's stomach	Sabelean gasa izatea
To gasp for breath	Arnasa hartzeko gasp-a
To make one gasp for breath	Arnasa hartzeko gas bat egiteko
Irrigation gate	Ureztatzeko atea
To close the gate	Atea ixteko
To start to gather	Jasotzen hasteko
To gather	Biltzeko
To gather around it	Bere inguruan biltzeko
To gather at it	Bertan biltzeko
To gather them	Biltzeko
To be gathering	Biltzen egoteko
To be gathered	Biltzeko
To gawk around	Inguruan gawk egiteko
To sit gawking around	Inguruan birak emanez esertzeko
To sit gazing	Begira esertzeko
To sit gazing out the window	Leihotik begira esertzeko
To sit gazing down	Beherantz begira esertzeko
To stand gazing upward	Gorantz begira egoteko
Star gazing	Star gazing
Reverse gear	Atzera-martxa
Gear shift lever	Engranajeak aldatzeko palanka
To be put into gear	Martxan jartzeko
To put it in gear	Martxan jartzeko
To be generous with it	Eskuzabala izatea
To see his genitals	Zure genitalak ikusteko
To look at his genitals	Genitalak begiratzeko
To have seen the genitals of	Honen genitalak ikusi izana:
Petro-geology	Petrogeologia
Petro-geologist	Petrogeologoa
The German People	Alemaniar herria
To talk with gestures to talk by making gestures	Keinuekin hitz egitea keinuak eginez hitz egiteko
To barely get around	Ia ez mugitzeko
To get well	Ondo lortzeko
To get a blister on one's foot	Oinean anpulu bat lortzeko
To get a bucket of water	Ur-ontzi bat lortzeko
To get a dry mouth	Aho lehorra lortzeko
To get after him for it	Ondoren lortzeko
To get a grease job on it	Bertan koipe-lana lortzeko
To get afraid	Beldurra izateko
To get a good start on a night's sleep	Gau bateko loaren hasiera ona lortzeko
To get a good start on one's drinking	Edarian bertan ondo hasteko
To get a good start on one's work	Lanean ondo hasteko
To get a nice - -	Hegaluze bat lortzeko - -
To get around	Mugitzeko
To get a scab or crust on it	Scab edo azal bat lortzeko
To get a shock	Shock bat lortzeko
To get a streak of bad luck	Zorte txarreko bolada bat lortzeko
To get back on one's feet	Oinetara itzultzeko
To get back one's self-respect	Nork bere burua errespetatzeko
To get back into one's shoes or slippers	Zapatetara edo zapatiletara itzultzeko
To get back into it one after another	Bata bestearen atzetik itzultzeko
To get  back into the water one after another	Uretara itzultzeko, bata bestearen atzetik
To get bored with it	Berarekin aspertzeko
To get grounded	Lurrera iristeko
To get high-centered	Zentratze handia lortzeko
To get snagged	Snagged lortzeko
To get caught in the rain	Eurian harrapatzeko
To get chilled	Hoztua lortzeko
To get clear	Argia lortzeko
To get cold in the genital area	Eremu genitalean hotza izateko
To get cramped	Cramped lortzeko
To get done	Egitatea lortzeko
To get well done	Ondo egiteko
To get down on one's knees	Belaunetatik jaisteko
To get full	Betea lortzeko
To get him for it	Hori lortzeko
To get him off in a hurry	Azkar lortzeko
To get him up	Altxatzeko
To get into a bad humor	Umore txarrean sartzeko
To get into bed with her	Ohean berarekin sartzeko
To get into the water one after another	Uretan sartzeko, bata bestearen atzetik
To get into the bath tub	Bainuontzian sartzeko
To get into the sweathouse	Sweathousen sartzeko
To get him into trouble	Arazoetan lortzeko
To get it from him	Lortzeko
To get it back	Berreskuratzeko
To get it in for him	Bertan lortzeko
To get him	Lortzeko
To get it for Christmas	Gabonetarako lortzeko
To get it off	Kanpoan lortzeko
To get it out with a pointed object	Objektu zorrotz batekin ateratzeko
To get lame	Lamea lortzeko
To get mouldy	Moldy lortzeko
To get next to oneself	Norberarengana iristeko
To get old	Zaharra lortzeko
To get old enough to start remembering things	Gauzak gogoratzen hasteko adina zahartzeko
To get one's hand out of it	Baten eskua kanpoan lortzeko
To get one's mail	Posta lortzeko
To get out the word	Hitzetik irteteko
To get over it	Lortzeko
To get rusty	Oxidazioa lortzeko
To get sleepy	Sleepy lortzeko
To get snow	Elurra lortzeko
To get rain	Euria egiteko
To get so one cannot see	Hori lortzeko, batek ezin du ikusi
To get so one cannot hear	Hori lortzeko, batek ezin du entzun
To get so one cannot eat	Hori lortzeko, batek ezin du jan
To get so one cannot sleep	Hori lortzeko, batek ezin du lorik egin
To get so one cannot walk	Hori lortzeko, batek ezin du ibili
To get so one cannot taste anything	Hori lortzeko, batek ezin du ezer probatu
To get  tattered	Tatuatzeko
To get to doing it repeatedly or  prolongedly	Behin eta berriz edo luzaroan egiteko
Holy Ghost	Espiritu Santua
Girls	Neskatoak
Girł	Birila
First Girl	Lehen neska
Holy Girl	Neska santua
Ripener Girl or Corn Beetle Girl	Erripener neska edo arto kakalardo txikia
To give birth	Erditu
To give birth to it	Erditu
To give birth one time after another	Beste baten ondoren erditzea
To give him a cold shoulder	Sorbalda hotza emateko
To give him a drubbing	Drubbing bat emateko
To give him a jail sentence	Kartzelari epaia emateko
To give him thirty days	Hogeita hamar egun emateko
To give him a kick	Ostikoa emateko
To give him a kicking	Ostikoa emateko
To give him a period of time	Denbora-tarte bat eman
To give him a scratch	Urratu bat emateko
To give him a scratch on the hand	Eskuan urratu bat emateko
To give him a shaking	Dardara emateko
To give him a slapping	Belarritakoa emateko
To give him a whipping	Azote bat emateko
To give him an injection of it	Injekzio bat emateko
To give it a lick	Lick bat emateko
To give it to him	Berari emateko
To give it up	Gora jotzeko
To give light	Argia emateko
To give oneself a shot	Tiro egiteko
To give one a headache	Bati buruko mina emateko
To give out on one	Batean egiteko
To give them away	Urrutira emateko
To give up to him	Hari uko egiteko
To give way	Urratsa emateko
To be given	Emateko
To glance up quickly	Gorantz azkar begiratzeko
To glance at it	Ikusteko
To glance off of it	Kanpora begiratzeko
To glance a shot	Tiro bat ikusteko
To glare	Itsutzeko
Drinking glass	Edateko beira
Reading glasses	Irakurtzeko betaurrekoak
Bifocal glasses	Betaurreko bifokalak
Distance glasses	Urruneko betaurrekoak
To glitter on and off	Glitter-a pizteko eta itzaltzeko
Boxing gloves	Boxeo-eskularruak
To have one's gloves on	Eskularruak banan-banan izateko
To glue them to it	Itsasteko
To glue them together	Elkarrekin itsasteko
Long-legged gnat	Hanka luzeko gnat
Big gnat	Big gnat
Gray gnat	Gnat grisa
Slender gnat	Slender gnat
To gnaw into it	Bertan sartzeko
To gnaw into it	Bertan sartzeko
To gnaw it in two	Bitan sartzeko
To gnaw it apart	Aparte sartzeko
To gnaw on it	Bertan sartzeko
To gnaw through it	Haren bidez hozka egiteko
They are going	Joan egingo dira
They're going to and fro in a swarm	Ontzi batean doa eta fro
To be always on the go	Beti bidean egoteko
To be going along	Hona joateko:
To be going along back looking for it	Atzeraka joateko
To be going along looking for sex	Sexu bila luzetara joateko
To be going along rolling	Rolling-ean zehar joateko
To be going along with one's mouth full of it	Urez betetako norbaiten ahoarekin batera joateko
To be going around	Inguruan ibiltzeko
To be going around and around in the water	Uretan inguruan egoteko
To be going around on one's hands and knees	Eskuetan eta belaunetan biratzen egoteko
To be going back down	Behera itzultzeko
To be going down	Behera joateko
To be going like a flash	Flash gisa joan
To be going on	Martxan egoteko
To be going on	Martxan egoteko
To be going on	Martxan egoteko
To be going to look for it	Haren bila joan da
To be going up as prices	Prezio gisa igotzeko
To be going up	Igotzen egoteko
To decide to go	Joan erabakitzeko
To go	Joateko
