I've bought a car	kotxe bat erosi dut
some sounds assimilate to others when we speak	hots batzuk besteekin asimilatzen dira hitz egiten dugunean
immigrants don't assimilate into a new culture immediately	etorkinek ez dute berehala beste kultura bat bere egiten
many parents assist their children with the homework	guraso askok laguntzen diete umeei etxeko lanak egiten
can I be of any assistance?	badut laguntzerik?
can I be of any assistance?	badut laguntzerik?
to associate ideas	ideiak lotu
to associate with a political party	alderdi politiko batekin elkartu
assorted offers	askotariko eskaintzak
assorted biscuits; assorted cookies	askotariko gailetak
to assume the worst	txarrena uste izan
to assume the office of treasurer	diruzain kargua hartu
to assume important decisions	erabaki garrantzitsuak hartu
I assured him of my assistance	agertuko nintzela ziurtatu nion
rest assured that I'll be there with you	zaude ziur zurekin egongo naizela han
she assured us she would be there	han egongo zela ziurtatu zigun
I assured him of my assistance	agertuko nintzela ziurtatu nion
rest assured that I'll be there with you	zaude ziur zurekin egongo naizela han
the news astonished her	berriek txunditu egin zuten
his ability to speak eight languages astounded me	zortzi hizkuntza hitz egiteko zuen gaitasunak txunditu ninduen
some letters went astray	eskutitz batzuk galdu egin ziren
some letters went astray	eskutitz batzuk galdu egin ziren
an astute investor	inbertitzaile azkarra
at work	lanean
at my friend's	nire lagunaren etxean
I saw her at the supermarket	supermerkatuan ikusi nuen
at night/noon	gauean; eguerdian
at one o'clock	ordu batean
he comes at five o'clock	bostetan etortzen da
what are you looking at?	zeri begira zaude?
she looked at me	begiratu egin zidan
at war	gerran
at poverty	txirotasunean
he's at lunch	bazkaltzen dago
at 30	30 urterekin
at your age	zure adinarekin
at 30 euros per kilogram	30 euroan kiloa
at 100 mph	100 milia orduko abiaduran
delighted at the news	berriekin pozez zoratzen
he's good at football	futbolean ona da
the atomic bomb	bonba atomikoa
an atrocious cold	egundoko marranta
I attach a letter to my application form	eskutitz bat gehitu diot eskaera-orriari
she has been attacked by a robber	lapur batek eraso zion
he has been attacked by the press	kazetariek kontra egin diote
to attack the joints	artikulazioei kalte egin
to attack the problems	arazoei aurre egin
to attain one's goals	helburuak lortu
he attempted to escape from school	ikastetxetik ihes egiten saiatu zen
to attend a wedding	ezkontzara joan
an attentive waitress	zerbitzari atsegina
to be attracted by an idea	ideia batek erakarri
auburn hair	gaztaina-koloreko ile gorrizka
he auctioned off his furniture	altzariak enkantean atera zituen
he auctioned off his furniture	altzariak enkantean atera zituen
to increase the amount of students	ikasle-kopurua gehitu
an authentic painting	benetako koadroa
health authorities	osasun-agintariak
I have to report this to the authorities	agintariei honen berri eman behar diet
who authorized you to go out?	nork eman dizu kalera joateko baimena?
I authorized my bank to pay the bill	nire bankuari ordainagiria ordaintzeko eskumena eman diot
autonomic nervous system	nerbio-sistema autonomoa
autonomous republic	errepublika autonomoa
available resources	baliabide erabilgarriak
avant-garde ideas	ideia abangoardistak
to avenge traitors	traidoreei mendeku hartu
average cost	batez besteko kostua
an average student	ikasle normala; ohiko ikaslea
a very average meal	bazkari normala, beste munduko ezer ez dena
to average about 9 hours	9 orduko batezbestekoa egin
to avert a catastrophe	hondamena gertatzea eragotzi
to avert one's eyes	begirada alderatu
they're avid for money	diru-egarria dute
he's been trying to avoid me all the morning	ni saihestu nahian ibili da goiz guztian
to avoid danger	arriskua saihestu
he's been trying to avoid me all the morning	ni saihestu nahian ibili da goiz guztian
to await the results	emaitzen zain egon
I awoke at six this morning	seietan esnatu naiz gaur goizean
to award prizes	sariak eman
they're aware of the duties	betebeharren jakitun dira
away from each other	elkarrengandik urrun
5 kilometres away from here	hemendik 5 kilometrora
away from each other	elkarrengandik urrun
5 kilometres away from here	hemendik 5 kilometrora
the wind had an awesome power	haizeak indar ikaragarria zuen
awkward position	jarrera baldarra
an awkward silence	isiltasun gogaikarria
an awkward question	galdera zaila
the program has been axed for now	telesaioa kendu egin dute oraingoz
they were back to back at the beginning of the duel	elkarri bizkarra emanez jarri ziren dueluaren hasieran
he had 4 classes back to back	4 klase bata bestearen atzetik izan zituen
to sit back	atzean eseri
I looked back	atzera begiratu nuen
she gave me back the present	bueltan eman zidan oparia
2 weeks back	orain dela 2 aste
back in/into 1973	1973an
going back to the Renaissance	Errenazimentuan
they were back to back at the beginning of the duel	elkarri bizkarra emanez jarri ziren dueluaren hasieran
he had 4 classes back to back	4 klase bata bestearen atzetik izan zituen
she refused to back down on that point	puntu horretan atzera egitea ez zuen onartu
the new plan was backed by everybody	plan berria denek babestu dute
I backed the winner	irabazlearen alde jokatu nuen
she refused to back down on that point	puntu horretan atzera egitea ez zuen onartu
their plans backfired	planak ustel atera zitzaizkien
because of the backlog (of work)	atzeratutako lana dela medio
bad weather	eguraldi txarra
a bad experience	esperientzia txarra
the worst day of my life	nire bizitzako egunik txarrena
to feel bad	gaixo egon
to sing badly	gaizki abestu
it's gone badly	gaizki atera zaigu
to sleep badly	txarto lo egin
badly injured	larri zaurituta
quick, bag that table	azkar, hartu mahai hori
the profits balance the costs	kostuak adina dira irabaziak
to balance the pros and cons	alde onak eta txarrak neurtu
he's going bald	burusoiltzen ari da
he balked at making the speech	hitzaldia egiteari ezetz esan zion
a banal issue	gai hutsala
she tied her hair back with a rubber band	gomaz lotu zuen ilea
she tied her hair back with a rubber band	gomaz lotu zuen ilea
he stood bang in the middle of the square	plazaren erdi-erdian zutik zegoen
he stood bang in the middle of the square	plazaren erdi-erdian zutik zegoen
he was banished to a remote island	irla bakartu batera erbesteratu zuten
to get rid of thoughts of fear	beldurrak alboratu
who do you bank with?	zein bankutan duzu kontua?
to bar the door	atea atalagaz itxi
to bar sb's way	norbaiti bidea moztu
to bar the children from going in	umeak barrura sartzea debekatu
to bare the arm	besoa desestali
he can hardly read	ozta-ozta irakur dezake
hardly anything	ia ezer ez
hardly ever	ia inoiz ez
barely ever	ia inoiz ez
they barricaded all the roads	bide guztietan barrikadak egin zituzten
what are you basing your assumption on?	zertan oinarritzen duzu zure ustea?
they've based the new company in China	enpresa berria Txinan kokatu dute
what are you basing your assumption on?	zertan oinarritzen duzu zure ustea?
I've bashed my head into the shop window	dendako erakusleihoarekin eman diot zartakoa neure buruari
to have a bash at sth	zerbait lortzeko saialdia egin
they're chosen on the basis of their qualifications	prestakuntzaren arabera hartu dituzte
they're chosen on the basis of their qualifications	prestakuntzaren arabera hartu dituzte
Southern Basque Country	Hego Euskal Herria
Northern Basque Country	Ipar Euskal Herria
bass clarinet	klarinete baxua
bass register	behe-erregistroa
to take a bath	norbera bainatu
did you bath the children?	umeak bainatu dituzu?
to bathe one's feet	hankak garbitu
to bathe the baby	umea bainatu
I bathe twice a day	egunean bitan bainatzen naiz
bathing cap	bainu-txanoa
she had been badly battered	oso tratu txarra eman zioten
he was battering at the door	atea jotzen ari zen
to battle for freedom	askatasunaren alde borrokatu
my name is Peter	nire izena Peter da
she was a rich widow	alargun aberatsa zen
your mobile is on my table	zure mugikorra nire mahai gainean dago
they were in a desperate situation	egoera larrian zeuden
I've never been to Australia	ez naiz inoiz Australian egon
the party is at five	jaia bostetan da
is there a petrol station here?	badago gasolindegirik hemen?
there's a free seat here	aulki bat libre dago hemen
she's been in the toilet for hours	ordutan egon da komunean
she is from Zornotza	Zornotzakoa da
she is a writer	idazlea da
your grandfather is young	zure aitona gaztea da
I'm happy	pozik nago
how old are you?	zenbat urte dituzu?
today it is really hot in the office	benetan bero dago gaur bulegoan
it's going to be a nice day	egun ederra izango da
how much are these earrings?	zenbatean dira belarritako hauek?
the truth has been discovered	egia jakin dute
it has been done for you	zuretzat egina da
the new sports centre is still being built	kiroldegi berria oraindik egiten ari dira
to beach the boat	batela hondartu
she beamed at her friends	alai irribarre egin zien lagunei
a light beamed in the distance	argi batek distira egiten zuen, urruti
the dog bore down on him	txakurra gainera joan zitzaion
the facts bear me out	gertakariek nire usteak sendotzen dituzte
—;how are you? —;bearing up	—;zer moduz? —;ba hementxe
bear with me until I finish this, please	hau bukatu arte itxoin pixka batean, mesedez
to bear arms	armak eraman
she couldn't bear the pain	ezin zuen mina jasan
why should I bear the blame for other people's mistakes?	zergatik hartu behar ditut neure gain besteen hutsegiteak?
he still bears the scars of the accident	oraindik istripuaren orbainak ditu
this chair will not bear your weight	jarleku honek ez dizu eutsiko
I bear no resentment towards you	ez dut zurekiko erreminik
to bear right/left	eskuinera/ezkerrera hartu
the dog bore down on him	txakurra gainera joan zitzaion
the facts bear me out	gertakariek nire usteak sendotzen dituzte
—;how are you? —;bearing up	—;zer moduz? —;ba hementxe
bear with me until I finish this, please	hau bukatu arte itxoin pixka batean, mesedez
they beat off competition from other companies to win the contract	kontratua lortzeko lehiatzen ari ziren beste enpresa batzuk garaitu zituzten
these kinds of problems are always too much for you	horrelako arazoek beti gainditzen haute
he's beaten last year's record	iazko errekorra hautsi du
nothing beats my mother's cooking	ez dago nire ama bezalako sukaldaririk
they beat off competition from other companies to win the contract	kontratua lortzeko lehiatzen ari ziren beste enpresa batzuk garaitu zituzten
we stayed at home because of the bad weather	eguraldi txarra dela eta etxean gelditu ginen
I didn't go out because I was ill	ez nintzen kalera joan gaixo nengoelako
I'm happy because I did what I wanted	pozik nago, nik nahi dudana egin baitut
we stayed at home because of the bad weather	eguraldi txarra dela eta etxean gelditu ginen
to become a doctor	sendagile izatera iritsi
to become apparent	agerikoa izan
to bed the earth properly	lurra ondo zapaldu
he left before me	nire aurretik irten da
before dinner	afaria baino lehen; afalaurrean
in front of my house	nire etxe aurrean
I've seen it before	lehenago ere ikusi dut
as before	lehenago bezala
he ate the whole cake before we came back	gu bueltatu aurretik pastel guztia jan zuen
to beg money	diru eske ibili
she begged him for help	laguntza erregutu zion
she begged for food for her children	umeentzako janari eskean ibili zen
he begged for freedom	askatzea erregutu zuen
to begin to work	lanean hasi
she began to walk when she was just 10 months old	hamar hilabeterekin hasi zen oinez
"ladies and gentlemen" —; he began to talk —; "welcome!"	jaun-andreok —;hasi zen hizketan—; ongi etorri!
I wish to thank you on behalf of the whole team	eskerrak eman nahi dizkizuet talde osoaren izenean
I wish to thank you on behalf of the whole team	eskerrak eman nahi dizkizuet talde osoaren izenean
will you behave yourselves?	ondo portatuko zarete?
he's her brother but he behaves differently	bere neba da baina ezberdin jokatzen du
