 A certain	 léi 
Horizon Blue Woman	 Nahodeetł'iizh 'Asdzáán  
There is a streak of blue	 da'ítł'izh 
Red-breasted bluebird	 dóliiłchíí'
To be bluffed out	 bił yéé' haleeh
School Board	 'Ólta' Bitsineheeshjíí' 
Room and board	 bii' hooghanígíí dóó 'adáagi
To board up an opening	 dádi'nishnííł
To have a boat race	 tsinaa'eeł bee 'ahadiikááh 
To be boatriding	 bił na'a'eeł
To bob his hair for him	 bitsii' bá náhinishk'ę́ę́h  
To have its tail bobbed in steps	 bitsee' dah ńda'ask'ęę' 
Body surface	 'ats'íískáá'  
Body fluid	 'ats'íístoo'  
Body odor	 k'ǫ́ǫ́zh 
Body-print	 tsásk'eh  
Dead body	 'ats'íís doo hináanii  
Front of the body	 'atéél  
The succession of body parts to which applications are made	 beedeełtsood  
Throughout the body	 'ats'íístah  
To be big-bodied	 'ayóí 'áásts'íís
Bog water	 tó habó'ool'eezígíí
Jagged boil	 ch'ozh deeshzhaaí 
To come to a boil	 hanílgháásh  
To boil it in oil	 'ak'ah bee yishbéézh  
To bring it to a boil	 hanishháásh  
To boil dry	 tó bąąh 'ádįįh  
To make it boil	 hanishháásh  
Bolt	 bee'eldǫǫh bik'a' bee 'ahi'níłígíí 
Queen bolt	 'atł'eeyah dah sinilí bił 'íí'áhígíí
To bolt it	 bił 'e'esgéés  
Arm bone	 'agaants'in  
Atlas bone	 'ak'os doolwólí  
Bone of the eyebrow ridge	 'anáts'iin  
Bone of the foot	 'akéts'in  
Bone of leg	 'ajáádts'in  
Bone of the neck	 'ak'osts'in  
Bones of the hand	 'áláts'in  
Bone of the nose	 'áchį́į́sts'iin  
Bones of the wrist	 'áláts'iin  
Bones of the trunk	 'azhi'ts'in  
Bones of upper foot	 'akéts'iil 
Bones of upper hand	 'áláts'iil  
Tip of breast bone	 'ayiditsee'  
Calf bone	 'ajáádts'in bąąh ní'áhá  
Cheekbone	 'aniishjaa' 
Foot bone	 'akéts'iin 
Heel bone	 'akétal  
Lower arm bone	 'agaants'in 
Rib bones	 'átsą́ą́'ts'in  
Shin bone	 'adzástists'in  
Shoulder bone	 'awosts'in  
Supra-orbital bone	 'anáts'iin 
Thigh bone	 'ajáád bita' sitání  
Upper crest of the hip bone	 'ak'aashjaa'  
Wrist bone	 'álátsį́į́ts'in
To be skin and bones	 bits'iiní
Bonging sound: to make a bonging sound	 doon yiits'a'
To boom on it	 'ásaa' yishdon  
Mexican border	 Naakaii bihoodzo 
Hopi border	 Kiis'áanii bihoodzo  
To bore holes	 'agháda'distas
To become a bore	 'ádahodeedlá  
To get bored with it	 doo yishdįįh da  
To keep him from getting bored	 bik'ihashta'
To be born one after another	 nihwiileeh 
To be born one after another	 hahatłíísh 
To bother him	 bídíshchid 
Quit bothering me	 t'áadoo shaa nánít'íní!
Milk bottle	 'abe' bizis 
Waterbottle	 tóshjeeh
Its bottom	 bitł'ááh  
At the bottom of it	 bitł'áahdi  
From its bottom	 bitł'ááhdę́ę́'  
To its bottom	 bitł'áahjį'  
On its bottom	 bitł'aahdi  
On the bottom of the foot	 'akétł'ááh  
Foot bottom	 kétł'ááh  
Bottom of the water	 táłtł'ááh  
On the bottom	 táłtł'áahdi  
From top to bottom	 bik'eetł'ání  
From the bottom up	 bik'eetł'ání  
Dried up evergreen bough	 'ił dííchii' 
Evergreen boughs placed at the opening of a lair or den to seal it off	 'ił dáádinílá
To bounce it making it dance	 bi'iishshish 
To bounce it up into the air	 yáábíjiish'aah  
To bounce up and down	 dah naashtłizh  
To be bouncing up and down	 dah naałdaas  
To bounce up and down dancing	 dah na'ashzhiish  
To bounce up	 dah naniidééh
Boundary line	 hoodzo 
To be bowed over	 shishyiizh
To bow	 'ahą́ą́h niijooł 
Wagon bows	 tsinaabąąs bítsą́ą́'
Dark bow	 'ałtį́į́' diłhił  
Mock orange bow	 'ałtį́į́' tséłkánii  
To tie a bow in it	 yistsǫsgo be'eshtł'ó 
Wagon bows	 tsinaabąąs bítsą́ą́'
To tie a bow knot in it	 yistsǫsgo be'eshtł'ó
Mixing bowl	 bii' ta'oo'nihí 
To box with each other	 'ahííníilts'in
First Boy	 'Átsé 'Ashkii 
Boy! oh boy!	 dooládó'da!
It is braced	 bíyah 'anii'á
To start to braid it	 bi'niishbíísh
Brain sac	 'atsiighąą' bik'ésti'ígíí
Its brake	 bee bíńdiidlohí  
Car brake	 chidí bee bíńdiidlohí 
Wagon brake	 tsinaabąąs bee bíńdiidlohí  
To keep one's foot on the brake	 bídííníshło'
Evergreen branches placed at the opening of a lair to seal if off	 'ił dáádinílá 
Line of branches	 'ałde ha'íí'á
To brand it	 bí'diishłííd
Fried Bread	 dah díníilghaazh  
Blue piki	 tsé'ást'éí dootł'izhígíí  
White piki	 tsé'ást'éí łigaaígíí  
Bread	 łees'áán  
To make paper bread	 tsék'i 'ast'ees  
To bake bread	 bááh 'áshłééh  
To get one's bread and butter from it	 bee 'i'dishnah 
To break	 'adiishtááh  
To break	 digéésh  
To breakaway from each other	 'ałts'ádeeł  
To break	 yiłkaah  
To break his heart	 bíní yiish'aah  
To break into a gallop	 bił dah díníiltįįh  
To break it	 yishshǫǫh  
To break it lengthwise	 'ałtániishtííh  
To break them off one after another	 hishtííh  
To break it off	 ni' hodiish'aah  
To break it off of it	 bidishne' 
To break it to pieces	 diishtááh  
To break its limbs	 hwiishtííh  
To break loose and fall away	 n'diishtłíísh  
To break loose and fall away	 ndi'niidééh 
To break off from it	 bidiltǫ'  
To break off of it one after another	 bidahidiltǫ'  
To break off piece after piece	 bihidishne'  
To break one's skin scratching	 tsiih 'ádíshch'id  
Tobreak out on it	 bąąh haadlaad  
To break out in a sweat	 niish'eeł  
To break the spell on him	 háábíyáshtééh  
To break through	 bigháltǫ'  
To break through the clouds	 ch'í'deełdlaad  
To break up clods	 bis naastseed  
To break up ice	 tin naastseed  
To start to break	 haiłkaah  
To share it with him by breaking it apart	 bił 'ałts'á'dísh'níísh  
To share it with him by breaking it apart	 bił 'ałts'á'díshtííh
Breast area	 'abe'gi 
False breast	 'abe'shchíín 
Having one breast missing	 bibe'k'is 
Tip of the breast bone	 'ayiditsee'
To be unable to get one's breath	 ch'ééh disdziih  
To get one's breath back	 hanáshyooł  
To get one's breath back	 hááhássooł  
To get out of breath and start coughing	 biyi' hoołch'ííh  
To get short of breath	 yisdah niissįįh  
To breathe hard	 dishhih 
Breathe in	 'iishyóół  
To take a breath	 'iishyóół 
To breathe in	 'ahisdziih  
To breathe back out	 hanásdziih  
To breathe it in one time after another	 bił 'ahishshííł
To be breathless	 yisdah nisin 
To bridge it with them	 tsé'naa ninishshóósh
Bridge of the nose	 'anáta'
Silver bridle	 béésh łigaii 'aniitł'óól
To brighten back up	 bił náhoojǫǫh 
To brighten it	 néishgááh
To bring it into the world	 yishchí  
To bring it out	 ch'ínísh'aah  
To be brought down in it	 bił hadaabąąs  
To be brought out one load after another	 bił ch'éhébąąs-  
To be bringing	 da'ííníilyé 
To bring him by plane	 bił 'anisht'ááh  
To bring him by water	 bił 'anish'eeł  
To bring into being	 hashłeeh  
To bring it to life	 hiishnaah  
To bring him back to life	 náhiishnaah 
Brink of a precipice or rock ledge	 tsédáá'  
On the brink of the precipice	 tsédáa'gi  
Up to the brink of the precipice	 tsédáa'jį' 
From the brink of the precipice	 tsédáá'dę́ę́'  
Toward the brink of the precipice	 tsédáa'jigo  
Along the brink of the precipice	 tsédáá'góó  
Brink of the canyon	 tsékoohdáá'
To get	 yitł'is
To be this broad	 kóníshtéél 
It is comparatively broad	 'áhoníłtéél 
It's too broad	 doo shóníłtéél 
Quite broad	 haashį́į́ níłtéél
To broil it	 tsííkáá' yist'ees
To keep him broke	 bídísht'ą́ą́h
Whisk broom	 'éé' bee yilzhóhí
To be his or her blood brother or sister	 bił háá'áázh 
They are my blood brothers and sisters	 bił háájéé'  
One's blood brothers or sisters	 bił hajííjéé'  
One's blood brother or sister	 bił hajíí'áázh  
One's older brother	 hánaaí  
One's younger brother	 hatsilí  
We brothers and sisters together	 t'ááła' haiijé'ígíí  
His brother	 béélchíín  
Wife's brother	 hayé nishłį́ 
Husband's brother	 hayé nishłį́ 
Wife's sister's husband	 hoł 'ashhéhé 
Husband's sister's husband	 hoł 'ashhéhé
To turn brown	 diichííh  
To turn it yellowish-brownish	 diniistsxóóh  
To stain it brown	 yiishtłíísh  
To bruise oneself	 dah 'ádiishtł'íísh  
To become bruised	 diteeł  
To have a bruise	 bikáa'gi dah dootł'izh  
Clothes brush	 'éé' bee yilzhóhí 
Hairbrush	 bé'ézhóó'  
Paintbrush	 bee 'adleeshí 
Scrub brush	 bee 'ádílch'iishí  
Steel brush	 béésh bee 'ach'iishí  
Shoe brush	 ké bee yilzhóhí  
Brushes made of sharpened sticks for the drawing of intricate designs by the Singer	 bee 'ak'ina'adzooí  
To have a close brush with death	 bikáa'jį' haleeh
To brush against him	 bídeeshááh  
To brush against it	 bídeesh'nééh  
To brush against him	 bídeeshyeed  
To brush against him	 bídeet'ááh  
To brush it	 yishshóóh  
To brush one's hair	 sitsii' yishshóóh  
To brush it off of it	 bąąh yishshóóh  
To brush it off oneself	 'ádąąh yishzhóóh  
Brush it away	 'iishshóóh  
To brush it inside	 yah 'iishshóóh  
To brush away evil	 bik'i na'ashhaał  
To brush her hair	 bitsii' bá 'ashshóóh  
To brush one's hair	 'ádíshzhóóh  
To brush them	 yishch'iish 
To start to brush it	 bi'niishshóóh  
Brushing procedure in Evil Way Chants	 'ak'ina'ałhaał
To form bubbles	 dah 'adiisóół 
To make it bubble	 hanishháásh
To go bucking along	 yilgoł  
To come back bucking	 náálgoł  
To go bucking as far as	 niilgééd  
To come out bucking	 ch'élgééd  
To come up bucking	 haalgééd  
To go bucking away out of sight	 'iilgééd  
To go bucking into	 yah 'iilgééd  
To disappear bucking	 yóó' 'iilgééd  
To start to buck	 haalgééd 
To start bucking along	 dilgééd
Lard bucket	 'ak'ah bizis- 
Metal bucket	 béésh 'ásaa'
Buckskin horse	 łį́į́' bitsiigha' łizhinii  
Buckskin lariat	 'abanítł'óół  
Buckskin leggings	 'abaní yistłé  
Buckskin shirt	 'abaní 'éé'  
Buckskin shoestrings	 'abaní kétł'óół  
Buckskin  stockings	 'abaní yistłé  
Buckskin strip	 'abaní niheest'ą́ą́z  
Buckskin thong	 'abaní niheest'ą́ą́z 
Buffalo hide	 'ayáníkágí 
Buffalo mane	 'ayání bitsiizóól 
Buffalo robe	 ch'idí
Black bug	 ch'osh łizhiní  
Sucking bug	 ch'osh 'ats'ǫǫsí  
Plant bug	 ch'il biya'  
Red-headed bug	 ch'osh bitsii' łichí'ígíí  
Black-headed bug	 ch'osh bitsiits'iin łizhinígíí  
Round bug	 ch'osh nímazí  
Striped bug	 ch'osh noodǫ́zígíí  
Stink bug	 ch'osh niłchxoní  
Tumbleweed bug	 ch'il deeníní bich'osh  
To bug each other	 bił 'ahé'ésts'ih
Baby buggy	 'awéé' bił naalbąąsí
To build a bridge across it	 tsé'naa ni'nishshóósh  
To build a conical hogan or tipi	 'ałch'į' 'adistsééh 
To build a fence	 'adisht'ééh 
To build a fenced enclosure	 'iná'ásht'ih  
To build a circular fence	 'ahéé'nísht'ééh  
To be building a fence	 'eesht'ih 
To build a fire	 didishjeeh  
To build a fire under it	 biyah hodishnííł  
To build it back up	 déédíshjeeh  
To build a hogan	 hashbį'  
To start building a hogan	 ha'ashtł'in  
To be built	 ła' 'ánáánálnééh  
To be built again	 'ánáánálnééh  
Two story building	 kin naaki 'ałk'i dah naaznilgo 
Alongside the building	 kiniit'aagóó
To have a bulge	 dah 'adiisóół
To twirl the bull-roarer	 tsinidi'ni' yismaz
To bum it from him	 yíníshkeed 
To go to various places bumming things	 yah dadishdá
To bump one's hand against it	 bik'ą́ą́h dishchííd  
To bump together	 'ahídiigeeh  
To get a bump	 hadzighááh
To bunch them	 bichá ninishshood  
There's a bunch of them	 dah neeshch'ozh  
To tie it in a bundle	 'ałch'į́' be'eshtł'ó
It's all bunk	 t'óó 'ádaaníí lá 
It's bunk	 doo 'aaníi da 
Bunk	 yáátsík'eh!
To burgle it	 nish'įįh
To burn into it	 bii'dishk'ą́ą́h  
To burn it	 dishłid  
To burn oneself	 'ádíshdlid 
To burn oneself with steam	 siil bee 'ádíshdlid  
To burn oneself slightly	 'ádísdéés  
To burn it out	 bii' ha'dishk'ą́ą́h  
To burn out	 hadik'ą́ą́h  
To burn out horizontally	 ch'ideek'ą́ą́h 
To be burning along	 dook'ą́ą́ł  
To be burning	 diltłi'  
To have one's crops burned	 bee 'azéés  
To hollow it out by burning	 bii'dishk'ą́ą́h  
To make it burn	 diishtłáád  
To pull it through his hand burning him	 bílák'ee dissǫ́ǫ́s  
To start to burn	 didik'ą́ą́h  
To burp up	 bizéé' háá'ágeeh 
To burp it	 bidiissééh
Wild burro	 télii da'ałchiní
To burrow	 'anishgééd  
To be burrowing	 'eeshnił  
To crawl into a burrow	 'a'ą́sh'nééh  
To fall into a burrow	 'a'ą́shtłíísh  
To go into a burrow	 'a'ą́shyeed  
To start to burrow along	 'adishgééd
To burst into flames	 hadinood  
To burst them one after another	 'aheheshchxóósh
To bury in order to make it pliable	 łeeh distsóós  
To bury it to make it pliable	 łeeh dishłé  
To bury it to make it pliable	 łeeh dishtįįh  
To be buried in order to make it flexible	 łeeh dilyé  
To be buried at sea	 taah yilyé  
To be burned one after another	 łeeh heelyé
School bus	 chidíłtsooí
It's none of his business	 doo bídéét'i' da
Across the bust	 'abe' gónaa 
To bust them one after another	 'aheheshchxóósh
To be busy	 binaanish hólǫ́ 
To butcher it	 násh'ah  
To be butchering	 'eesh'ah  
To start to butcher	 'i'niish'ááh  
To start to butcher it	 bi'niish'ááh  
To start to butcher it	 nábi'niish'ááh  
Butt end of a corn cob	 naadą́ą́' bikétal 
Pistol butt	 bee'eldǫǫh yázhí bitsiin 
To become the butt of a joke	 bá nahat'i'
To be always butting	 'adishgoh  
To be great for butting	 'adishgoh  
To butt	 'ajishgeeh  
To butt each other	 'ahííníigeeh  
To have a butting match with him	 bił 'ahííníshgeeh
To get one's bread and butter from it	 bee 'i'dishnah 
To butter him up	 łídíshchí 
His buttocks	 bitł'aayahdę́ę́' 
To be big-buttocked	 'ayóí 'ááshtł'aa'
Button	 yoo' niłchiní 
Buttons	 'éé' bił dah naaznilígíí 
To push a button	 bił 'adishchííd
To be bought from him	 baa nahaniih
To make a buzzing sound	 zhíí' yiits'a' 
To make a low pitched buzzing sound	 zǫǫz yiits'a' 
Passing by it	 bą́ą́h  
By means of it	 bee  
Passing by each other	 'ahą́ą́h  
By means of each other	 'ahee  
By him	 bíighahgi  
Over by it	 bich'ijígo  
By car	 chidí bee  
By train	 kǫ' na'ałbąąsii bee  
By oneself	 t'áá łah dinisht'éhégo  
By-and-by	 hodíina'go
To make a cache	 nooh hashchí
Barrel cactus	 hosh sidáhí  
Crimson Barrel cactus	 hosh dineezhiní  
Chandelier cactus	 hosh 'aditsahiitsoh  
Cane or tree cactus	 hosh 'aditsahiitsoh  
Saguaro cactus	 hosh 'aditsahii  
Smooth cactus	 hosh diltǫhii  
Prickly pear cactus	 hosh nteelí  
Cactus having awl-like thorns	 hosh dítsahii 
Cactus brush	 hosh bee yildéhé 
Cactus picker	 hosh bee wóbéhé 
Cactus fruit	 hosh bineest'ą'
To have a Caesarian section	 bitsą́ ha'alteeh
In the café	 da'jiyą́ą́ góne' 
To run a cafe	 bá 'adą́
Puberty cake	 corncake 'alkąąd 
Sacrificial cake	 nánooyęshii 
To call each other insulting names	 'ahííníidziih 
To call him	 bidishní  
To call it off	 t'óó 'ánássįįh  
To call one's own name	 'ádííníshjí 
To call oneself	 'ádííníshjí  
To call off their names	 bitaa'ííníshshí  
To be called	 daho'dóji  
To be called	 yinishyé  
To be called off	 t'óó 'ánálzįįh  
To be called thus	 'íinishyé  
To engage in a name calling contest with him	 bił 'ahíínísdziih  
To have a close call	 bikáa'jį' haleeh
To calm down	 hodiiyeeł  
To become calm	 hodilyeeł  
Tin can	 yadiizíní  
Beer can	 bizhéé' hólóní bizis  
To be canned	 'ats'áábi'deelt'e'
To cancel it	 ni' hodiish'aah 
To be cancelled	 t'óó 'ánálzįįh
To appear as a candidate for office on the ballot	 'atah bá 'i'ii'nííł
Cotton candy	 'ałk'ésdisí ndik'ą' ndahalinígíí
Cane. 'akaz łikaní	 dá'ákaz łikaní  
Cane	 lók'aatsoh  
Stalking cane	 beedaagish 
Male Smooth Cane	 Gish Dilkǫǫhí Biką'ii  
Female Smooth Cane	 Gish Dilkǫǫhii Ba'áadii 
To be hobbling along with a cane	 tsin bee heeshchah
Canned tomatoes	 ch'il łichxí'í yadiizíní bee naaznilígíí 
Canned goods	 bighájígishí
To put up a canopy	 dah 'ashishbaał
To the canyon's edge	 tsékoohdaa'jį'  
Into the canyon	 tseeh  
Coonskin cap	 tábąąh mą'ii ch'ah  
Beaverskin cap	 chaa'ch'ah  
Cap with a bill	 ch'ah bítáa'jį' da'deez'áhígíí  
Fur cap	 ch'ah ditł'ooí  
Knit cap	 ch'ah naats'ǫǫdí  
